10,1859,1,0.291992,1.802734,9.851562,0.000000,0.000000,0.000000,-0.089844,94898.546875,0.000000
29,2369,1,0.411621,1.636719,9.679688,0.000000,0.000000,0.000000,-0.111328,94899.132812,0.000000
42,2880,1,0.232178,1.797852,9.859375,0.000000,0.000000,0.000000,-0.070312,94900.242188,0.000000
5b,3390,1,0.301514,1.778320,9.828125,0.000000,0.000000,0.000000,-0.117188,94899.289062,0.000000
74,3897,1,0.258545,1.689453,9.726562,0.000000,0.000000,0.000000,-0.167969,94900.625000,0.000000
8d,4408,1,0.167480,1.740234,9.843750,0.000000,0.000000,0.000000,-0.117188,94899.281250,0.000000
a6,4918,1,0.244141,1.692383,9.773438,0.000000,0.000000,0.000000,-0.162109,94900.492188,0.000000
bf,5429,1,0.172363,1.754883,9.828125,0.000000,0.000000,0.000000,-0.156250,94900.335938,0.000000
d8,5936,1,0.248901,1.725586,9.804688,0.000000,0.000000,0.000000,-0.050781,94905.968750,0.000000
f1,6446,1,0.392578,1.710938,9.718750,0.000000,0.000000,0.000000,-0.162109,94900.484375,0.000000
10a,6957,1,0.469238,1.754883,9.843750,0.000000,0.000000,0.000000,-0.169922,94900.703125,0.000000
123,7467,1,0.251221,1.756836,9.804688,0.000000,0.000000,0.000000,-0.304688,94904.343750,0.000000
13c,7974,1,0.224976,1.802734,9.851562,0.000000,0.000000,0.000000,-0.322266,94904.828125,0.000000
155,8485,2,0.275146,1.959961,10.687500,0.000000,0.000000,0.000000,-0.244141,94902.687500,0.000000
16e,9330,3,0.322998,1.847656,9.937500,0.000000,0.000000,0.000000,-0.080078,94898.273438,0.000000
187,9869,3,0.315918,1.824219,9.789062,0.000000,0.000000,0.000000,-0.019531,94896.625000,0.000000
1a0,10408,3,0.256104,1.821289,9.804688,0.000000,0.000000,0.000000,0.242188,94889.546875,0.000000
1b9,10947,3,0.322998,1.809570,9.804688,0.000000,0.000000,0.000000,0.468750,94883.421875,0.000000
1d2,11486,3,0.280029,1.814453,9.804688,0.000000,0.000000,0.000000,0.619141,94879.390625,0.000000
1eb,12025,3,0.282471,1.811523,9.789062,0.000000,0.000000,0.000000,0.603516,94879.781250,0.000000
204,12564,3,0.344727,1.776367,9.820312,0.000000,0.000000,0.000000,0.792969,94874.671875,0.000000
21d,13103,3,0.260742,1.783203,9.789062,0.000000,0.000000,0.000000,0.972656,94869.812500,0.000000
236,13642,3,0.287109,1.850586,9.796875,0.000000,0.000000,0.000000,1.062500,94867.375000,0.000000
24f,14181,3,0.268066,1.802734,9.781250,0.000000,0.000000,0.000000,1.277344,94861.593750,0.000000
268,14720,3,0.318359,1.797852,9.757812,0.000000,0.000000,0.000000,1.347656,94859.703125,0.000000
281,15259,3,0.289551,1.809570,9.796875,0.000000,0.000000,0.000000,1.564453,94853.828125,0.000000
29a,15798,3,0.294434,1.842773,9.804688,0.000000,0.000000,0.000000,1.777344,94848.093750,0.000000
2b3,16337,3,0.280029,1.819336,9.804688,0.000000,0.000000,0.000000,1.695312,94850.304688,0.000000
2cc,16876,3,0.287109,1.824219,9.781250,0.000000,0.000000,0.000000,1.986328,94842.437500,0.000000
2e5,17415,3,0.282471,1.821289,9.796875,0.000000,0.000000,0.000000,1.966797,94842.984375,0.000000
2fe,17954,3,0.284668,1.829102,9.812500,0.000000,0.000000,0.000000,2.072266,94840.093750,0.000000
317,18493,3,0.325439,1.809570,9.796875,0.000000,0.000000,0.000000,2.261719,94834.992188,0.000000
330,19032,3,0.284668,1.826172,9.796875,0.000000,0.000000,0.000000,2.574219,94826.539062,0.000000
349,19571,3,0.322998,1.771484,9.515625,0.000000,0.000000,0.000000,2.632812,94824.960938,0.000000
362,20110,3,0.308838,1.702148,9.195312,0.000000,0.000000,0.000000,2.828125,94819.687500,0.000000
37b,20649,3,0.277588,1.771484,9.617188,0.000000,0.000000,0.000000,2.853516,94819.000000,0.000000
394,21188,3,0.306396,1.814453,9.750000,0.000000,0.000000,0.000000,2.941406,94816.625000,0.000000
3ad,21727,3,0.280029,1.809570,9.820312,0.000000,0.000000,0.000000,2.851562,94819.054688,0.000000
3c6,22266,3,0.253662,1.807617,9.812500,0.000000,0.000000,0.000000,3.050781,94813.687500,0.000000
3df,22805,3,0.251221,1.883789,10.171875,0.000000,0.000000,0.000000,2.939453,94816.687500,0.000000
3f8,23344,3,0.303955,1.816406,9.781250,0.000000,0.000000,0.000000,2.986328,94815.437500,0.000000
411,23883,3,0.275146,1.824219,9.789062,0.000000,0.000000,0.000000,2.896484,94817.859375,0.000000
42a,24422,3,0.275146,1.831055,9.796875,0.000000,0.000000,0.000000,2.935547,94816.796875,0.000000
443,24961,3,0.301514,1.824219,9.796875,0.000000,0.000000,0.000000,2.947266,94816.500000,0.000000
45c,25500,3,0.322998,1.794922,9.804688,0.000000,0.000000,0.000000,3.035156,94814.125000,0.000000
475,26039,3,0.291992,1.826172,9.789062,0.000000,0.000000,0.000000,2.960938,94816.109375,0.000000
48e,26578,3,0.263184,1.807617,9.796875,0.000000,0.000000,0.000000,3.060547,94813.453125,0.000000
4a7,27117,3,0.287109,1.794922,9.812500,0.000000,0.000000,0.000000,3.072266,94813.101562,0.000000
4c0,27656,3,0.284668,1.785156,9.820312,0.000000,0.000000,0.000000,3.003906,94814.968750,0.000000
4d9,28195,3,0.272705,1.797852,9.828125,0.000000,0.000000,0.000000,3.017578,94814.578125,0.000000
4f2,28734,3,0.334961,1.824219,9.789062,0.000000,0.000000,0.000000,3.031250,94814.195312,0.000000
